Typ,Nr,Namn,Address1,Address2,Address3,Address4,Address5,Telefon,ButiksTyp,Tjanster,SokOrd,Oppettider,RT90x,RT90y
Ombud,218004-91A,Ica Nära Hedesunda,Smevägen 2,,818 45,HEDESUNDA,Gävleborgs län,0291-100 31,,,,,6698328.87,1566039.38
Ombud,218102-91B,Coop Storvik,Tingsgatan 10,,812 30,STORVIK,Gävleborgs län,010-747 49 41,,,,,,
Ombud,218103-90A,Ica Nära Järbo,Kungsforsvägen 12,,811 71,JÄRBO,Gävleborgs län,0290-76 50 40,,,,,6733388.225,1543251.784
Ombud,218104-90B,Ica Nära Österfärnebo,Färnebovägen 903,,810 20,ÖSTERFÄRNEBO,Gävleborgs län,0291-200 03,,,,,,
Ombud,218206-90B,Coop Bergvik-Hälsingland,Varianthuset,,826 67,BERGVIK,Gävleborgs län,010-747 51 11,,,,,,
Ombud,218208-90C,Ica Nära Trönö,Glamsta 990,,826 95,TRÖNÖDAL,Gävleborgs län,0270-360 85,,,,,6809509.976,1554979.725
Ombud,218306-91C,Coop Kilafors,Stationsgatan 14,,823 30,KILAFORS,Gävleborgs län,010-747 51 31,,,,,6790791,1540776
Ombud,218309-92A,Icas Spelboa,Storgatan 26,,821 61,ARBRÅ,Gävleborgs län,0278-411 65,,,,,6817453.644,1530538.887
Ombud,218407-90B,Coop Nära Enånger,Enångersvägen 33,,825 95,ENÅNGER,Gävleborgs län,010-7411770,,,Hälsingland;Gävleborgs län;Hudiksvall;Enånger,,6826495.786,1563822.545
Ombud,218408-90A,ICA Supermarket Delsbohallen,Edevägen 5,,824 71,DELSBO,Gävleborgs län,0653-168 10,,,HÄLSINGLAND;GÄVLEBORG;HUDIKSVALL,,6854213,1539462
Ombud,218409-91A,ICA Nära Friggesund,Strömbackavägen 17,,824 78,BJURÅKER,Gävleborgs län,0653-200 28,,,HÄLSINGLAND;GÄVLEBORG;HUDIKSVALL,,6865049.723,1539110.993
Ombud,218409-92B,Handlarn Svågadalen,Ängebo 83,,824 79,BJURÅKER,Gävleborgs län,0653-301 00,,,,,6873222,1527886
Ombud,218411-91B,Tempo,Forssåvägen 1,,824 65,NÄSVIKEN,Gävleborgs län,0650-303 40,,,GÄVLEBORG;HÄLSINGLAND;HUDIKSVALL,,6849700,1556052
Ombud,226003-92B,Nära Dig,Turingevägen 18,,840 24,ÖVERTURINGEN,Västernorrlands län,0690-711 45,,,MEDELPAD;VÄSTERNORRLAND;ÅNGE,,6926882.95,1454323.711
Ombud,226004-91C,Östins Järnhandel,Fränstavägen 275,,840 12,FRÄNSTA,Västernorrlands län,0691-302 21,,,,,6931816.781,1518831.915
Ombud,226203-91A,Ica Nära Söråker,Folketshusvägen 1,,861 51,SÖRÅKER,Västernorrlands län,060-412 50,,,MEDELPAD;VÄSTERNORRLAND;TIMRÅ,,6933893,1587758
Ombud,228005-91A,Mat & Nostalgi,Gammelgården 237,,871 94,VIKSJÖ,Västernorrlands län,0611-313 00,,,,,6964140.141,1582524.61
Ombud,228107-90A,ICA Nära Stöde,Stödevägen 44,,864 41,STÖDE,Västernorrlands län,0691-101 74,,,MEDELPAD;VÄSTERNORRLAND;SUNDSVALL,,6923094,1540210
