,NR,address,geometry,Nr,Namn,Typ,Address4,Address5,total,lat,lon
197,1220,"Kristers väg, 247 50 Dalby, Sweden",POINT (13.3486282 55.66401889999999),1220,,Butik,DALBY,Skåne län,53,55.66401889999999,13.3486282
198,1221,"Kronetorpsvägen 2, 232 37 Arlöv, Sweden",POINT (13.0843725 55.63983769999999),1221,,Butik,ARLÖV,Skåne län,80,55.63983769999999,13.0843725
199,1222,"Södergatan, Skurup, Sweden",POINT (13.4983446 55.47468660000001),1222,,Butik,SKURUP,Skåne län,60,55.47468660000001,13.4983446
200,1224,"Storgatan, Svedala, Sweden",POINT (13.2367146 55.5086853),1224,,Butik,SVEDALA,Skåne län,55,55.5086853,13.2367146
201,1225,"Algatan, Trelleborg, Sweden",POINT (13.1527444 55.3745229),1225,,Butik,TRELLEBORG,Skåne län,57,55.3745229,13.1527444
202,1226,"Järnvägsgatan 2l, 235 31 Vellinge, Sweden",POINT (13.0211572 55.4709483),1226,,Butik,VELLINGE,Skåne län,54,55.4709483,13.0211572
203,1227,"Kungstorpsvägen, Höllviken, Sweden",POINT (12.9694322 55.4265786),1227,Toppengallerian,Butik,HÖLLVIKEN,Skåne län,77,55.4265786,12.9694322
204,1230,"Stora Östergatan, Ystad, Sweden",POINT (13.8235213 55.4302812),1230,,Butik,YSTAD,Skåne län,59,55.4302812,13.8235213
205,1231,"Östergatan, Sjöbo, Sweden",POINT (13.718775 55.62559719999999),1231,,Butik,SJÖBO,Skåne län,59,55.62559719999999,13.718775
206,1232,"Bråhögsplatsen 1c, 245 31 Staffanstorp, Sweden",POINT (13.2051688 55.642554),1232,,Butik,STAFFANSTORP,Skåne län,55,55.642554,13.2051688
207,1242,"Landskronavägen, Helsingborg, Sweden",POINT (12.7431611 56.0005453),1242,Råå,Butik,HELSINGBORG,Skåne län,82,56.0005453,12.7431611
208,1243,"Drottninggatan, Helsingborg, Sweden",POINT (12.6818302 56.0600652),1243,,Butik,HELSINGBORG,Skåne län,78,56.0600652,12.6818302
209,1244,"Regementsvägen, Helsingborg, Sweden",POINT (12.7196041 56.0645925),1244,Berga,Butik,Helsingborg,Skåne län,82,56.0645925,12.7196041
210,1245,"Björkavägen, Ödåkra, Sweden",POINT (12.7581069 56.10168789999999),1245,Väla,Butik,ÖDÅKRA-VÄLA,Skåne län,82,56.10168789999999,12.7581069
211,1246,"Norra Storgatan, Bjuv, Sweden",POINT (12.905433 56.0921558),1246,,Butik,BJUV,Skåne län,44,56.0921558,12.905433
212,1248,"Trädgårdsgatan, 261 31 Landskrona, Sweden",POINT (12.8305615 55.8683616),1248,,Butik,LANDSKRONA,Skåne län,78,55.8683616,12.8305615
213,1249,"Herrevadsgatan 11H, 268 31 Svalöv, Sweden",POINT (13.1066933 55.9141308),1249,,Butik,SVALÖV,Skåne län,42,55.9141308,13.1066933
214,1250,"Marknadsvägen, 246 42 Löddeköpinge, Sweden",POINT (12.9925552 55.76867319999999),1250,Center Syd,Butik,LÖDDEKÖPINGE,Skåne län,79,55.76867319999999,12.9925552
215,1252,"Storgatan 58e, 263 38 Höganäs, Sweden",POINT (12.559875 56.200061),1252,,Butik,HÖGANÄS,Skåne län,77,56.200061,12.559875
216,1253,"Traktorvägen, 226 60 Lund, Sweden",POINT (13.157573 55.7178039),1253,NOVA,Butik,LUND,Skåne län,82,55.7178039,13.157573
217,1254,"Bangatan, Lund, Sweden",POINT (13.1876042 55.7058665),1254,,Butik,LUND,Skåne län,64,55.7058665,13.1876042
218,1255,"Mårtenstorget, Lund, Sweden",POINT (13.196133 55.7014414),1255,SALUHALLEN,Butik,LUND,Skåne län,77,55.7014414,13.196133
219,1256,"Stenhuggaregatan, 244 30 Kävlinge, Sweden",POINT (13.110393 55.7908303),1256,,Butik,KÄVLINGE,Skåne län,42,55.7908303,13.110393
220,1257,"Södergatan, 241 30 Eslöv, Sweden",POINT (13.3026111 55.8358273),1257,,Butik,ESLÖV,Skåne län,53,55.8358273,13.3026111
221,1258,"Nya Torg, Höör, Sweden",POINT (13.5393905 55.9347494),1258,,Butik,HÖÖR,Skåne län,55,55.9347494,13.5393905
222,1259,"Nya torg, 242 31 Hörby, Sweden",POINT (13.661673 55.8526014),1259,,Butik,HÖRBY,Skåne län,56,55.8526014,13.661673
223,1301,"Köpmansgatan, Halmstad, Sweden",POINT (12.8570187 56.6751312),1301,,Butik,HALMSTAD,Hallands län,84,56.6751312,12.8570187
224,1302,"Prästvägen, Halmstad, Sweden",POINT (12.9106861 56.6616583),1302,Hallarna,Butik,HALMSTAD,Hallands län,84,56.6616583,12.9106861
225,1304,"Storgatan 10B, 314 31 Hyltebruk, Sweden",POINT (13.2395393 56.9995328),1304,,Butik,HYLTEBRUK,Hallands län,59,56.9995328,13.2395393
226,1305,"Östertullsgatan, Laholm, Sweden",POINT (13.0443282 56.51141209999999),1305,,Butik,LAHOLM,Hallands län,60,56.51141209999999,13.0443282
227,1306,"Sandgatan, Falkenberg, Sweden",POINT (12.4827475 56.9045265),1306,,Butik,Falkenberg,Hallands län,79,56.9045265,12.4827475
228,1307,"Västra Vallgatan, Varberg, Sweden",POINT (12.2488052 57.1070296),1307,,Butik,VARBERG,Hallands län,82,57.1070296,12.2488052
229,1308,"Nygatan, 434 30 Kungsbacka, Sweden",POINT (12.0758617 57.48582849999999),1308,,Butik,KUNGSBACKA,Hallands län,80,57.48582849999999,12.0758617
230,1309,"Kundvägen 5e, 302 41 Halmstad, Sweden",POINT (12.8066197 56.678286),1309,Flygstaden,Butik,Halmstad,Hallands län,82,56.678286,12.8066197
231,1310,"Varberg Vrångagatan, 432 54 Varberg, Sweden",POINT (12.2755205 57.08296799999999),1310,Breared,Butik,VARBERG,Hallands län,82,57.08296799999999,12.2755205
232,1311,"Hedebrovägen, 434 39 Kungsbacka, Sweden",POINT (12.0777868 57.5141308),1311,,Butik,Kungsbacka,Hallands län,82,57.5141308,12.0777868
233,1404,"Kungsportsavenyen, Göteborg, Sweden",POINT (11.9747463 57.7006315),1404,Avenyn,Butik,GÖTEBORG,Västra Götalands län,77,57.7006315,11.9747463
234,1406,"Kungstorget, Göteborg, Sweden",POINT (11.9686032 57.70339360000001),1406,,Butik,GÖTEBORG,Västra Götalands län,68,57.70339360000001,11.9686032
235,1407,"Kobbarnas väg, Göteborg, Sweden",POINT (11.9969417 57.7141273),1407,Olskroken,Butik,GÖTEBORG,Västra Götalands län,77,57.7141273,11.9969417
236,1409,"Torpavallsgatan, Göteborg, Sweden",POINT (12.030814 57.7240799),1409,,Butik,GÖTEBORG,Västra Götalands län,78,57.7240799,12.030814
237,1410,"Lilla Klädpressaregatan 8, 411 05 Göteborg, Sweden",POINT (11.968577 57.7098343),1410,Nordstan,Butik,GÖTEBORG,Västra Götalands län,84,57.7098343,11.968577
238,1411,"Linnégatan 28B, 413 04 Göteborg, Sweden",POINT (11.9516525 57.6967963),1411,,Butik,GÖTEBORG,Västra Götalands län,77,57.6967963,11.9516525
239,1412,"Kapellplatsen, Göteborg, Sweden",POINT (11.9707165 57.6935248),1412,,Butik,GÖTEBORG,Västra Götalands län,77,57.6935248,11.9707165
240,1413,"Åvägen, Göteborg, Sweden",POINT (11.9917552 57.7020766),1413,Gårda,Butik,GÖTEBORG,Västra Götalands län,82,57.7020766,11.9917552
241,1414,"Swedenborgsgatan, 417 05 Göteborg, Sweden",POINT (11.9526791 57.72240490000001),1414,Backaplan,Butik,GÖTEBORG,Västra Götalands län,81,57.72240490000001,11.9526791
242,1415,"Karl Johansgatan, Göteborg, Sweden",POINT (11.9160029 57.69188089999999),1415,,Butik,GÖTEBORG,Västra Götalands län,82,57.69188089999999,11.9160029
243,1416,"Transportgatan 19, 422 46 Hisings Backa, Sweden",POINT (11.9991973 57.7691994),1416,Bäckebol Homecenter,Butik,HISINGS BACKA,Västra Götalands län,84,57.7691994,11.9991973
244,1417,"Kolhamnsgatan, Göteborg, Sweden",POINT (11.9210518 57.7081797),1417,Eriksberg,Butik,GÖTEBORG,Västra Götalands län,79,57.7081797,11.9210518
245,1418,"Hornsgatan, Göteborg, Sweden",POINT (12.0121637 57.7286063),1418,Gamlestaden,Butik,GÖTEBORG,Västra Götalands län,77,57.7286063,12.0121637
246,1420,"Frölunda torg, 421 42 Västra Frölunda, Sweden",POINT (11.9103384 57.6508928),1420,,Butik,VÄSTRA FRÖLUNDA,Västra Götalands län,78,57.6508928,11.9103384
247,1422,"Krogabäcksvägen, Göteborg, Sweden",POINT (11.9525473 57.5988923),1422,,Butik,HOVÅS,Västra Götalands län,77,57.5988923,11.9525473
248,1423,"Angereds torg, Göteborg, Sweden",POINT (12.0511306 57.7967569),1423,,Butik,ANGERED,Västra Götalands län,76,57.7967569,12.0511306
249,1424,"Hantverksvägen 2, 436 33 Askim, Sweden",POINT (11.9494546 57.6425412),1424,Sisjön,Butik,ASKIM,Västra Götalands län,82,57.6425412,11.9494546
250,1425,"Norgårdsvägen 10b, 475 32 Öckerö, Sweden",POINT (11.6545555 57.70819039999999),1425,,Butik,ÖCKERÖ,Västra Götalands län,60,57.70819039999999,11.6545555
251,1426,"Flygfältsgatan, Göteborg, Sweden",POINT (11.7827914 57.7128125),1426,,Butik,TORSLANDA,Västra Götalands län,77,57.7128125,11.7827914
252,1428,"Biblioteksgatan 14B, 435 30 Mölnlycke, Sweden",POINT (12.1158447 57.6580328),1428,,Butik,MÖLNLYCKE,Västra Götalands län,77,57.6580328,12.1158447
253,1429,"Ekenleden, Mölndal, Sweden",POINT (12.0424418 57.6122007),1429,,Butik,KÅLLERED,Västra Götalands län,78,57.6122007,12.0424418
254,1430,"Gamla Kronvägen 11, 433 33 Partille, Sweden",POINT (12.1071947 57.73965320000001),1430,,Butik,PARTILLE,Västra Götalands län,79,57.73965320000001,12.1071947
255,1431,"Brogatan, 431 30 Mölndal, Sweden",POINT (12.0149586 57.65551840000001),1431,Mölndal Galleria,Butik,MÖLNDAL,Västra Götalands län,79,57.65551840000001,12.0149586
256,1432,"Älvebacken, Kungälv, Sweden",POINT (11.9683329 57.8739771),1432,,Butik,KUNGÄLV,Västra Götalands län,81,57.8739771,11.9683329
257,1433,"Krokdalsvägen, Bollebygd, Sweden",POINT (12.5620308 57.6693524),1433,,Butik,SKÄRHAMN,Västra Götalands län,62,57.6693524,12.5620308
258,1434,"Ostra kopmansgatan 25, 444 30 Stenungsund, Sweden",POINT (11.8176496 58.06766020000001),1434,,Butik,STENUNGSUND,Västra Götalands län,79,58.06766020000001,11.8176496
259,1435,"Hamntorget, 473 34 Henån, Sweden",POINT (11.6787977 58.2370934),1435,,Butik,HENÅN,Västra Götalands län,53,58.2370934,11.6787977
260,1436,"Västerlånggatan 2B, 451 31 Uddevalla, Sweden",POINT (11.9323077 58.3493315),1436,,Butik,UDDEVALLA,Västra Götalands län,77,58.3493315,11.9323077
261,1437,"451 76 Uddevalla, Sweden",POINT (11.8104287 58.35386579999999),1437,,Butik,UDDEVALLA,Västra Götalands län,75,58.35386579999999,11.8104287
262,1438,"Strömstadsvägen, Munkedal, Sweden",POINT (11.669177 58.4706115),1438,,Butik,MUNKEDAL,Västra Götalands län,53,58.4706115,11.669177
263,1439,"Hallindenvägen 2B, 456 34 Kungshamn, Sweden",POINT (11.2601951 58.3571594),1439,,Butik,KUNGSHAMN,Västra Götalands län,61,58.3571594,11.2601951
264,1440,"Korsgatan, Lysekil, Sweden",POINT (11.4342923 58.2743573),1440,,Butik,LYSEKIL,Västra Götalands län,58,58.2743573,11.4342923
265,1441,"Oslovägen, Strömstad, Sweden",POINT (11.1910717 58.94742149999999),1441,,Butik,STRÖMSTAD,Västra Götalands län,83,58.94742149999999,11.1910717
266,1442,"Oslovägen, Strömstad, Sweden",POINT (11.1910717 58.94742149999999),1442,,Butik,STRÖMSTAD,Västra Götalands län,82,58.94742149999999,11.1910717
267,1443,"Sältevägen, 457 72 Grebbestad, Sweden",POINT (11.2536961 58.692107),1443,,Butik,GREBBESTAD,Västra Götalands län,77,58.692107,11.2536961
268,1501,"Regementsgatan 4, 462 32 Vänersborg, Sweden",POINT (12.3329603 58.37811639999999),1501,,Butik,VÄNERSBORG,Västra Götalands län,76,58.37811639999999,12.3329603
269,1503,"Anes väg, 461 70 Trollhättan, Sweden",POINT (12.3069763 58.31423239999999),1503,Överby Köpcenter,Butik,Trollhättan,Västra Götalands län,83,58.31423239999999,12.3069763
270,1504,"Kungsgatan, Trollhättan, Sweden",POINT (12.2864825 58.2822743),1504,Oden,Butik,TROLLHÄTTAN,Västra Götalands län,76,58.2822743,12.2864825
271,1505,"Torggatan, 662 31 Åmål, Sweden",POINT (12.7042327 59.0529875),1505,,Butik,ÅMÅL,Västra Götalands län,54,59.0529875,12.7042327
272,1506,"Storgatan, Mellerud, Sweden",POINT (12.4627034 58.69781880000001),1506,,Butik,MELLERUD,Västra Götalands län,55,58.69781880000001,12.4627034
273,1507,"Berglunds gränd, 666 30 Bengtsfors, Sweden",POINT (12.2243959 59.0291471),1507,,Butik,BENGTSFORS,Västra Götalands län,53,59.0291471,12.2243959
274,1508,"Lerum Hulan centrum, 443 51 Lerum, Sweden",POINT (12.2472974 57.7517283),1508,Solkatten,Butik,LERUM,Västra Götalands län,76,57.7517283,12.2472974
275,1509,"Delesgatan, 668 30 Ed, Sweden",POINT (11.9352563 58.9115341),1509,Dals-Ed,Butik,ED,Västra Götalands län,53,58.9115341,11.9352563
276,1511,"Göteborgsvägen, Bollebygd, Sweden",POINT (12.5810317 57.6684584),1511,,Butik,BOLLEBYGD,Västra Götalands län,46,57.6684584,12.5810317
277,1512,"Allégatan, Borås, Sweden",POINT (12.9419915 57.7210875),1512,,Butik,BORÅS,Västra Götalands län,77,57.7210875,12.9419915
278,1513,"Ålgårdsvägen, 506 30 Borås, Sweden",POINT (12.9326657 57.73414279999999),1513,Knalleland,Butik,BORÅS,Västra Götalands län,83,57.73414279999999,12.9326657
279,1514,"Göteborgsvägen 37, 463 30 Lilla Edet, Sweden",POINT (12.1281661 58.1374174),1514,,Butik,LILLA EDET,Västra Götalands län,56,58.1374174,12.1281661
280,1515,"Storgatan, Tranemo, Sweden",POINT (13.3477924 57.48022410000001),1515,,Butik,TRANEMO,Västra Götalands län,38,57.48022410000001,13.3477924
281,1516,"Boråsvägen, Svenljunga, Sweden",POINT (13.1107963 57.5038194),1516,,Butik,SVENLJUNGA,Västra Götalands län,54,57.5038194,13.1107963
282,1517,"Boråsvägen, Ulricehamn, Sweden",POINT (13.4129173 57.7995829),1517,,Butik,ULRICEHAMN,Västra Götalands län,56,57.7995829,13.4129173
283,1518,"Kungsgatan 34C, 441 31 Alingsås, Sweden",POINT (12.5373686 57.9300775),1518,,Butik,ALINGSÅS,Västra Götalands län,78,57.9300775,12.5373686
284,1519,"Boråsvägen, Kinna, Sweden",POINT (12.6929616 57.52051050000001),1519,,Butik,KINNA,Västra Götalands län,79,57.52051050000001,12.6929616
285,1520,"Centrumvägen, Färgelanda, Sweden",POINT (11.9976644 58.56854440000001),1520,,Butik,FÄRGELANDA,Västra Götalands län,41,58.56854440000001,11.9976644
286,1521,"Ale Torg, 449 31 Nödinge-Nol, Sweden",POINT (12.0450149 57.8941549),1521,,Butik,NÖDINGE,Västra Götalands län,61,57.8941549,12.0450149
287,1522,"Kungsgatan, Vårgårda, Sweden",POINT (12.8087246 58.0333993),1522,,Butik,VÅRGÅRDA,Västra Götalands län,38,58.0333993,12.8087246
288,1523,"Storgatan, Herrljunga, Sweden",POINT (13.0303121 58.0787309),1523,,Butik,HERRLJUNGA,Västra Götalands län,41,58.0787309,13.0303121
289,1524,"Trandögatan, 504 33 Borås, Sweden",POINT (12.9430322 57.71105290000001),1524,Åhaga,Butik,BORÅS,Västra Götalands län,78,57.71105290000001,12.9430322
290,1601,"Stockholmsvägen, Mariestad, Sweden",POINT (13.8511631 58.71043239999999),1601,,Butik,MARIESTAD,Västra Götalands län,76,58.71043239999999,13.8511631
291,1602,"Götgatan, 531 31 Lidköping, Sweden",POINT (13.1539174 58.50269429999999),1602,,Butik,LIDKÖPING,Västra Götalands län,76,58.50269429999999,13.1539174
292,1603,"Torggatan, Grästorp, Sweden",POINT (12.6809986 58.3339639),1603,,Butik,GRÄSTORP,Västra Götalands län,40,58.3339639,12.6809986
293,1604,"Drottninggatan, 534 31 Vara, Sweden",POINT (12.9542573 58.26174679999999),1604,,Butik,VARA,Västra Götalands län,54,58.26174679999999,12.9542573
294,1605,"Marumsgatan, Skara, Sweden",POINT (13.4362077 58.3851212),1605,,Butik,SKARA,Västra Götalands län,60,58.3851212,13.4362077
295,1606,"Hertig Johans torg, 541 30 Skövde, Sweden",POINT (13.8459744 58.3893271),1606,,Butik,SKÖVDE,Västra Götalands län,77,58.3893271,13.8459744
296,1607,"Hamngatan, Hjo, Sweden",POINT (14.2903174 58.3025209),1607,,Butik,HJO,Västra Götalands län,56,58.3025209,14.2903174
297,1608,"Gamla torget, 522 31 Tidaholm, Sweden",POINT (13.9581861 58.18056499999999),1608,,Butik,TIDAHOLM,Västra Götalands län,53,58.18056499999999,13.9581861
298,1609,"Falköping, Sweden",POINT (13.553217 58.17502899999999),1609,,Butik,FALKÖPING,Västra Götalands län,76,58.17502899999999,13.553217
299,1610,"Storgatan, Karlsborg, Sweden",POINT (14.5067848 58.53364799999999),1610,,Butik,KARLSBORG,Västra Götalands län,54,58.53364799999999,14.5067848
300,1611,"Järnvägsgatan 6e, 533 30 Götene, Sweden",POINT (13.4921602 58.528007),1611,,Butik,GÖTENE,Västra Götalands län,55,58.528007,13.4921602
301,1612,"Kyrkogatan, 545 30 Töreboda, Sweden",POINT (14.1255244 58.7097075),1612,,Butik,TÖREBODA,Västra Götalands län,39,58.7097075,14.1255244
302,1613,"Storgatan, Gullspång, Sweden",POINT (14.0988314 58.9862689),1613,,Butik,GULLSPÅNG,Västra Götalands län,39,58.9862689,14.0988314
303,1614,"Centrumgatan, Tibro, Sweden",POINT (14.1651464 58.4246178),1614,,Butik,TIBRO,Västra Götalands län,54,58.4246178,14.1651464
304,1616,"Järnvägsgatan 3B, 465 31 Nossebro, Sweden",POINT (12.7205324 58.18768949999999),1616,,Butik,NOSSEBRO,Västra Götalands län,42,58.18768949999999,12.7205324
305,1617,"Nolhagavägen, Skövde, Sweden",POINT (13.8656828 58.40681309999999),1617,,Butik,SKÖVDE,Västra Götalands län,82,58.40681309999999,13.8656828
306,1701,"Järnvägsgatan, 652 25 Karlstad, Sweden",POINT (13.4993271 59.37985859999999),1701,Duvan,Butik,KARLSTAD,Värmlands län,77,59.37985859999999,13.4993271
307,1702,"Frykmans väg, Karlstad, Sweden",POINT (13.4252494 59.37246339999999),1702,Bergvik-Karlstad,Butik,KARLSTAD,Värmlands län,82,59.37246339999999,13.4252494
308,1703,"Järnvägsgatan, Forshaga, Sweden",POINT (13.4799679 59.53033480000001),1703,,Butik,FORSHAGA,Värmlands län,54,59.53033480000001,13.4799679
309,1704,"Storgatan 16b, 665 30 Kil, Sweden",POINT (13.3207433 59.5046604),1704,,Butik,KIL,Värmlands län,53,59.5046604,13.3207433
310,1705,"Sundsgatan, Säffle, Sweden",POINT (12.9316953 59.1315153),1705,,Butik,SÄFFLE,Värmlands län,53,59.1315153,12.9316953
311,1706,"Storgatan, 671 31 Arvika, Sweden",POINT (12.5917999 59.65454339999999),1706,,Butik,ARVIKA,Värmlands län,55,59.65454339999999,12.5917999
312,1707,"Storgatan, Hagfors, Sweden",POINT (13.6819363 60.044423),1707,,Butik,HAGFORS,Värmlands län,53,60.044423,13.6819363
313,1708,"Viktoriagatan, 682 30 Filipstad, Sweden",POINT (14.1707177 59.7128293),1708,,Butik,FILIPSTAD,Värmlands län,58,59.7128293,14.1707177
314,1709,"Kungsgatan, Kristinehamn, Sweden",POINT (14.1073832 59.31181649999999),1709,,Butik,KRISTINEHAMN,Värmlands län,78,59.31181649999999,14.1073832
315,1710,"Kvarngatan, Sunne, Sweden",POINT (13.1435761 59.83542259999999),1710,,Butik,SUNNE,Värmlands län,57,59.83542259999999,13.1435761
316,1711,"Tallbacksvägen 21B, 684 30 Munkfors, Sweden",POINT (13.5461621 59.8356575),1711,,Butik,MUNKFORS,Värmlands län,38,59.8356575,13.5461621
317,1712,"Nya torget, 685 30 Torsby, Sweden",POINT (13.0077044 60.1355064),1712,,Butik,TORSBY,Värmlands län,53,60.1355064,13.0077044
318,1713,"Storgatan, Årjäng, Sweden",POINT (12.1287849 59.3880615),1713,,Butik,ÅRJÄNG,Värmlands län,76,59.3880615,12.1287849
319,1714,"Sveagatan, Grums, Sweden",POINT (13.1139453 59.3535141),1714,,Butik,GRUMS,Värmlands län,53,59.3535141,13.1139453
320,1715,"Helga Görlins gata, 673 32 Charlottenberg, Sweden",POINT (12.2923086 59.8814088),1715,,Butik,CHARLOTTENBERG,Värmlands län,82,59.8814088,12.2923086
321,1716,"Åråsvägen, Skoghall, Sweden",POINT (13.4669894 59.3254314),1716,,Butik,SKOGHALL,Värmlands län,53,59.3254314,13.4669894
322,1717,"Djupadalsgatan, 688 30 Storfors, Sweden",POINT (14.2742177 59.52872859999999),1717,,Butik,STORFORS,Värmlands län,38,59.52872859999999,14.2742177
323,1718,"Rävbergsvägen, 656 39 Karlstad, Sweden",POINT (13.5801723 59.3958256),1718,Välsviken,Butik,KARLSTAD,Värmlands län,81,59.3958256,13.5801723
324,1801,"Kungsgatan, Örebro, Sweden",POINT (15.2121794 59.2681589),1801,,Butik,ÖREBRO,Örebro län,82,59.2681589,15.2121794
325,1802,"Säljarevägen, 702 36 Örebro, Sweden",POINT (15.1409924 59.2198901),1802,Marieberg,Butik,ÖREBRO,Örebro län,81,59.2198901,15.1409924
326,1803,"Prologgatan, 703 70 Örebro, Sweden",POINT (15.1985167 59.2951136),1803,Eurostop,Butik,ÖREBRO,Örebro län,81,59.2951136,15.1985167
327,1804,"Sörbyängsvägen, Örebro, Sweden",POINT (15.2353111 59.25324589999999),1804,Tybblekullen,Butik,Örebro,Örebro län,77,59.25324589999999,15.2353111
328,1805,"Stortorget, Hallsberg, Sweden",POINT (15.1115712 59.0659029),1805,,Butik,HALLSBERG,Örebro län,53,59.0659029,15.1115712
329,1806,"Köpmangatan, Kumla, Sweden",POINT (15.1432606 59.12092209999999),1806,,Butik,KUMLA,Örebro län,53,59.12092209999999,15.1432606
330,1807,"Väderkvarnsgatan, 696 30 Askersund, Sweden",POINT (14.9036923 58.8793283),1807,,Butik,ASKERSUND,Örebro län,53,58.8793283,14.9036923
331,1808,"Herrgårdsgatan, Degerfors, Sweden",POINT (14.4355177 59.23715059999999),1808,,Butik,DEGERFORS,Örebro län,53,59.23715059999999,14.4355177
332,1809,"Centrumleden, Karlskoga, Sweden",POINT (14.5163719 59.3246078),1809,K-Center,Butik,KARLSKOGA,Örebro län,76,59.3246078,14.5163719
333,1810,"Storgatan, Örebro, Sweden",POINT (15.2170623 59.27842099999999),1810,,Butik,NORA,Örebro län,55,59.27842099999999,15.2170623
334,1811,"Kristinavägen, 711 30 Lindesberg, Sweden",POINT (15.2281283 59.5931871),1811,,Butik,LINDESBERG,Örebro län,55,59.5931871,15.2281283
335,1812,"Sikforsvägen 26, 712 30 Hällefors, Sweden",POINT (14.5203812 59.7834494),1812,,Butik,HÄLLEFORS,Örebro län,38,59.7834494,14.5203812
336,1813,"Skolgatan 21, 695 30 Laxå, Sweden",POINT (14.618818 58.9853143),1813,,Butik,LAXÅ,Örebro län,40,58.9853143,14.618818
337,1814,"Gruvfogdegatan, Kopparberg, Sweden",POINT (14.9863668 59.8767716),1814,,Butik,KOPPARBERG,Örebro län,38,59.8767716,14.9863668
338,1815,"STICKSPÅRET 2B, 716 30 Fjugesta, Sweden",POINT (14.8722252 59.17408889999999),1815,,Butik,FJUGESTA,Örebro län,48,59.17408889999999,14.8722252
339,1901,"Vasagatan, Västerås, Sweden",POINT (16.5352787 59.62260059999999),1901,City,Butik,VÄSTERÅS,Västmanlands län,76,59.62260059999999,16.5352787
340,1902,"Traversgatan 10a, 721 38 Västerås, Sweden",POINT (16.4642846 59.61653510000001),1902,Erikslund,Butik,VÄSTERÅS,Västmanlands län,82,59.61653510000001,16.4642846
341,1903,"Stockholmsvägen 136B, 721 34 Västerås, Sweden",POINT (16.62 59.6099519),1903,Hälla,Butik,VÄSTERÅS,Västmanlands län,83,59.6099519,16.62
342,1904,"Stenbygatan, Västerås, Sweden",POINT (16.5728255 59.63877230000001),1904,,Butik,Västerås,Västmanlands län,76,59.63877230000001,16.5728255
343,1905,"Drottninggatan, Kungsör, Sweden",POINT (16.1028892 59.4186261),1905,,Butik,KUNGSÖR,Västmanlands län,38,59.4186261,16.1028892
344,1906,"Nygatan, 732 30 Arboga, Sweden",POINT (15.8388634 59.3946206),1906,,Butik,ARBOGA,Västmanlands län,53,59.3946206,15.8388634
345,1907,"Stora Gatan, Köping, Sweden",POINT (15.9948521 59.5125906),1907,,Butik,KÖPING,Västmanlands län,76,59.5125906,15.9948521
346,1908,"Järntorget, 737 40 Fagersta, Sweden",POINT (15.791797 60.00480109999999),1908,,Butik,FAGERSTA,Västmanlands län,53,60.00480109999999,15.791797
347,1909,"Rådmansgatan, 733 30 Sala, Sweden",POINT (16.607545 59.9210584),1909,,Butik,SALA,Västmanlands län,58,59.9210584,16.607545
348,1910,"HAMMARTORGET 5B, 734 30 Hallstahammar, Sweden",POINT (16.2287919 59.6141131),1910,,Butik,HALLSTAHAMMAR,Västmanlands län,55,59.6141131,16.2287919
349,1911,"Köpmangatan 27, 735 31 Surahammar, Sweden",POINT (16.2215597 59.70763489999999),1911,,Butik,SURAHAMMAR,Västmanlands län,39,59.70763489999999,16.2215597
350,1912,"Malmgatan, Norberg, Sweden",POINT (15.9241656 60.0642033),1912,,Butik,NORBERG,Västmanlands län,39,60.0642033,15.9241656
351,1913,"Centralvägen, 739 30 Skinnskatteberg, Sweden",POINT (15.6926215 59.8292935),1913,,Butik,SKINNSKATTEBERG,Västmanlands län,38,59.8292935,15.6926215
352,1914,"Torgvägen, 740 46 Östervåla, Sweden",POINT (17.1769838 60.1816189),1914,,Butik,ÖSTERVÅLA,Uppsala län,44,60.1816189,17.1769838
353,2001,"Falugatan, Falun, Sweden",POINT (15.629767 60.60669329999999),2001,,Butik,FALUN,Dalarnas län,82,60.60669329999999,15.629767
354,2002,"Norra Backagatan 5a, 781 70 Borlänge, Sweden",POINT (15.4188638 60.47845009999999),2002,,Butik,Borlänge,Dalarnas län,83,60.47845009999999,15.4188638
355,2003,"Sveagatan, 784 33 Borlänge, Sweden",POINT (15.4326646 60.4867331),2003,,Butik,BORLÄNGE,Dalarnas län,76,60.4867331,15.4326646
356,2004,"Åsgatan, Hedemora, Sweden",POINT (15.9904323 60.27292790000001),2004,Centrumgallerian,Butik,HEDEMORA,Dalarnas län,57,60.27292790000001,15.9904323
357,2005,"Kungsgatan 13, 774 30 Avesta, Sweden",POINT (16.1715278 60.1450432),2005,,Butik,AVESTA,Dalarnas län,77,60.1450432,16.1715278
358,2006,"Fredsgatan, Ludvika, Sweden",POINT (15.1861997 60.14841430000001),2006,,Butik,LUDVIKA,Dalarnas län,81,60.14841430000001,15.1861997
359,2007,"Kyrkogatan, 792 30 Mora, Sweden",POINT (14.5373 61.00402529999999),2007,,Butik,MORA,Dalarnas län,77,61.00402529999999,14.5373
360,2008,"Grönlandsvägen, Malung, Sweden",POINT (13.7098322 60.6866039),2008,,Butik,MALUNG,Dalarnas län,65,60.6866039,13.7098322
361,2009,"Norsgatan, 793 30 Leksand, Sweden",POINT (14.9995231 60.73023490000001),2009,,Butik,LEKSAND,Dalarnas län,64,60.73023490000001,14.9995231
362,2010,"Centrumhuset, 780 67 Sälen, Sweden",POINT (13.268319 61.155389),2010,,Butik,SÄLEN,Dalarnas län,62,61.155389,13.268319
